<s>	sil #1
振	CH_dzc CH_@ CH_n# #16
陣	CH_dzc CH_@ CH_n# #17
震	CH_dzc CH_@ CH_n# #18
鎮	CH_dzc CH_@ CH_n# #19
張	CH_dzc CH_a CH_N# #1
章	CH_dzc CH_a CH_N# #2
彰	CH_dzc CH_a CH_N# #3
樟	CH_dzc CH_a CH_N# #4
璋	CH_dzc CH_a CH_N# #5
掌	CH_dzc CH_a CH_N# #6
丈	CH_dzc CH_a CH_N# #7
仗	CH_dzc CH_a CH_N# #8
杖	CH_dzc CH_a CH_N# #9
帳	CH_dzc CH_a CH_N# #10
脹	CH_dzc CH_a CH_N# #11
漲	CH_dzc CH_a CH_N# #12
瘴	CH_dzc CH_a CH_N# #13
障	CH_dzc CH_a CH_N# #14
征	CH_dzc CH_@ CH_N# #3
諍	CH_dzc CH_@ CH_N# #4
爭	CH_dzc CH_@ CH_N# #5
崢	CH_dzc CH_@ CH_N# #6
崢	CH_tsc CH_@ CH_N# #2
猙	CH_dzc CH_@ CH_N# #7
睜	CH_dzc CH_@ CH_N# #8
箏	CH_dzc CH_@ CH_N# #9
蒸	CH_dzc CH_@ CH_N# #10
徵	CH_dzc CH_@ CH_N# #11
徵	CH_dzc CH_Uc #14
錚	CH_dzc CH_@ CH_N# #12
癥	CH_dzc CH_@ CH_N# #13
拯	CH_dzc CH_@ CH_N# #14
整	CH_dzc CH_@ CH_N# #15
正	CH_dzc CH_@ CH_N# #16
政	CH_dzc CH_@ CH_N# #17
症	CH_dzc CH_@ CH_N# #18
掙	CH_dzc CH_@ CH_N# #19
鄭	CH_dzc CH_@ CH_N# #20
證	CH_dzc CH_@ CH_N# #21
硃	CH_dzc CH_u #2
朱	CH_dzc CH_u #3
朱	CH_sc CH_u #2
株	CH_dzc CH_u #4
珠	CH_dzc CH_u #5
蛛	CH_dzc CH_u #6
諸	CH_dzc CH_u #7
豬	CH_dzc CH_u #8
抓	CH_dzc CH_a CH_u #15
抓	CH_dzc CH_u CH_a #1
抓	CH_tsc CH_u CH_a #1
捉	CH_dzc CH_u CH_o #3
桌	CH_dzc CH_u CH_o #4
卓	CH_dzc CH_u CH_o #5
灼	CH_dzc CH_u CH_o #6
拙	CH_dzc CH_u CH_o #7
茁	CH_dzc CH_u CH_o #8
啄	CH_dzc CH_u CH_o #9
酌	CH_dzc CH_u CH_o #10
琢	CH_dzc CH_u CH_o #11
濁	CH_dzc CH_u CH_o #12
擢	CH_dzc CH_u CH_o #13
濯	CH_dzc CH_u CH_o #14
倬	CH_dzc CH_u CH_o #15
追	CH_d CH_u CH_e CH_i #6
椎	CH_dzc CH_u CH_e CH_i #1
椎	CH_tsc CH_u CH_e CH_i #1
錐	CH_dzc CH_u CH_e CH_i #2
綴	CH_dzc CH_u CH_e CH_i #3
贅	CH_dzc CH_u CH_e CH_i #4
專	CH_dzc CH_u CH_a CH_n# #1
磚	CH_dzc CH_u CH_a CH_n# #2
轉	CH_dzc CH_u CH_a CH_n# #3
撰	CH_dzc CH_u CH_a CH_n# #4
賺	CH_dzc CH_u CH_a CH_n# #5
准	CH_dzc CH_u CH_@ CH_n# #2
準	CH_dzc CH_u CH_@ CH_n# #3
妝	CH_dzc CH_u CH_a CH_N# #1
莊	CH_dzc CH_u CH_a CH_N# #2
裝	CH_dzc CH_u CH_a CH_N# #3
樁	CH_dzc CH_u CH_a CH_N# #4
庄	CH_dzc CH_u CH_a CH_N# #5
壯	CH_dzc CH_u CH_a CH_N# #6
狀	CH_dzc CH_u CH_a CH_N# #7
撞	CH_tsc CH_u CH_a CH_N# #1
撞	CH_dzc CH_u CH_a CH_N# #8
中	CH_dzc CH_o CH_N# #1
忠	CH_dzc CH_o CH_N# #2
衷	CH_dzc CH_o CH_N# #3
終	CH_dzc CH_o CH_N# #4
鍾	CH_dzc CH_o CH_N# #5
鐘	CH_dzc CH_o CH_N# #6
腫	CH_dzc CH_o CH_N# #7
種	CH_dzc CH_o CH_N# #8
踵	CH_dzc CH_o CH_N# #9
仲	CH_dzc CH_o CH_N# #10
重	CH_tsc CH_o CH_N# #1
重	CH_dzc CH_o CH_N# #11
眾	CH_dzc CH_o CH_N# #12
竹	CH_dzc CH_u #9
逐	CH_dzc CH_u #10
築	CH_dzc CH_u #11
燭	CH_dzc CH_u #12
主	CH_dzc CH_u #13
拄	CH_dzc CH_u #14
煮	CH_dzc CH_u #15
貯	CH_dzc CH_u #16
囑	CH_dzc CH_u #17
矚	CH_dzc CH_u #18
住	CH_dzc CH_u #19
佇	CH_dzc CH_u #20
助	CH_dzc CH_u #21
注	CH_dzc CH_u #22
柱	CH_dzc CH_u #23
祝	CH_dzc CH_u #24
蛀	CH_dzc CH_u #25
註	CH_dzc CH_u #26
駐	CH_dzc CH_u #27
鑄	CH_dzc CH_u #28
直	CH_dzc CH_Uc #15
姪	CH_dzc CH_Uc #16
值	CH_dzc CH_Uc #17
執	CH_dzc CH_Uc #18
植	CH_dzc CH_Uc #19
殖	CH_dzc CH_Uc #20
質	CH_dzc CH_Uc #21
職	CH_dzc CH_Uc #22
擲	CH_dzc CH_Uc #23
侄	CH_dzc CH_Uc #24
蟄	CH_dzc CH_Uc #25
蟄	CH_dzc CH_@ #13
止	CH_dzc CH_Uc #26
只	CH_dzc CH_Uc #27
旨	CH_dzc CH_Uc #28
址	CH_dzc CH_Uc #29
咫	CH_dzc CH_Uc #30
指	CH_dzc CH_Uc #31
祉	CH_dzc CH_Uc #32
紙	CH_dzc CH_Uc #33
至	CH_dzc CH_Uc #34
志	CH_dzc CH_Uc #35
制	CH_dzc CH_Uc #36
炙	CH_dzc CH_Uc #37
治	CH_tsc CH_Uc #1
治	CH_dzc CH_Uc #38
峙	CH_dzc CH_Uc #39
致	CH_dzc CH_Uc #40
秩	CH_dzc CH_Uc #41
窒	CH_dzc CH_Uc #42
智	CH_dzc CH_Uc #43
稚	CH_dzc CH_Uc #44
置	CH_dzc CH_Uc #45
雉	CH_dzc CH_Uc #46
滯	CH_dzc CH_Uc #47
製	CH_dzc CH_Uc #48
誌	CH_dzc CH_Uc #49
幟	CH_dzc CH_Uc #50
緻	CH_dzc CH_Uc #51
吃	CH_tsc CH_Uc #2
吃	CH_dzi CH_i #71
痴	CH_tsc CH_Uc #3
癡	CH_tsc CH_Uc #4
叉	CH_tsc CH_a #2
差	CH_ts CH_U #1
差	CH_tsc CH_a #3
差	CH_ts CH_u CH_o #2
差	CH_tsc CH_a #4
插	CH_tsc CH_a #5
查	CH_dzc CH_a #11
查	CH_tsc CH_a #6
茶	CH_tsc CH_a #7
察	CH_tsc CH_a #8
剎	CH_sc CH_a #2
剎	CH_tsc CH_a #9
車	CH_dzi CH_y #27
扯	CH_tsc CH_@ #1
掣	CH_tsc CH_@ #2
徹	CH_tsc CH_@ #3
澈	CH_tsc CH_@ #4
撤	CH_tsc CH_@ #5
轍	CH_dzc CH_@ #14
轍	CH_tsc CH_@ #6
拆	CH_tsc CH_a CH_i #1
拆	CH_tsc CH_@ #7
柴	CH_tsc CH_a CH_i #2
柴	CH_dzc CH_a CH_i #8
抄	CH_tsc CH_a CH_u #1
剿	CH_dzi CH_i CH_a CH_u #28
超	CH_tsc CH_a CH_u #2
鈔	CH_tsc CH_a CH_u #3
巢	CH_tsc CH_a CH_u #4
朝	CH_dzc CH_a CH_u #16
朝	CH_tsc CH_a CH_u #5
潮	CH_tsc CH_a CH_u #6
嘲	CH_dzc CH_a CH_u #17
嘲	CH_tsc CH_a CH_u #7
吵	CH_tsc CH_a CH_u #8
炒	CH_tsc CH_a CH_u #9
抽	CH_tsc CH_o CH_u #1
仇	CH_tsc CH_o CH_u #2
仇	CH_tsi CH_i CH_o CH_u #9
愁	CH_tsc CH_o CH_u #3
稠	CH_tsc CH_o CH_u #4
酬	CH_tsc CH_o CH_u #5
綢	CH_tsc CH_o CH_u #6
疇	CH_tsc CH_o CH_u #7
籌	CH_tsc CH_o CH_u #8
丑	CH_tsc CH_o CH_u #9
醜	CH_tsc CH_o CH_u #10
臭	CH_tsc CH_o CH_u #11
臭	CH_si CH_i CH_o CH_u #8
摻	CH_tsc CH_a CH_n# #3
摻	CH_sc CH_a CH_n# #3
摻	CH_ts CH_a CH_n# #1
禪	CH_tsc CH_a CH_n# #4
禪	CH_sc CH_a CH_n# #4
蟬	CH_tsc CH_a CH_n# #5
蟾	CH_tsc CH_a CH_n# #6
纔	CH_tsc CH_a CH_n# #7
纏	CH_tsc CH_a CH_n# #8
產	CH_tsc CH_a CH_n# #9
剷	CH_tsc CH_a CH_n# #10
鏟	CH_tsc CH_a CH_n# #11
闡	CH_tsc CH_a CH_n# #12
臣	CH_tsc CH_@ CH_n# #1
忱	CH_tsc CH_@ CH_n# #2
辰	CH_tsc CH_@ CH_n# #3
沈	CH_tsc CH_@ CH_n# #4
沈	CH_sc CH_@ CH_n# #2
沉	CH_tsc CH_@ CH_n# #5
晨	CH_tsc CH_@ CH_n# #6
陳	CH_tsc CH_@ CH_n# #7
陳	CH_dzc CH_@ CH_n# #20
塵	CH_tsc CH_@ CH_n# #8
趁	CH_tsc CH_@ CH_n# #9
櫬	CH_tsc CH_@ CH_n# #10
襯	CH_tsc CH_@ CH_n# #11
讖	CH_tsc CH_@ CH_n# #12
昌	CH_tsc CH_a CH_N# #2
娼	CH_tsc CH_a CH_N# #3
猖	CH_tsc CH_a CH_N# #4
長	CH_tsc CH_a CH_N# #5
長	CH_dzc CH_a CH_N# #15
常	CH_tsc CH_a CH_N# #6
場	CH_tsc CH_a CH_N# #7
腸	CH_tsc CH_a CH_N# #8
嘗	CH_tsc CH_a CH_N# #9
償	CH_tsc CH_a CH_N# #10
嚐	CH_tsc CH_a CH_N# #11
敞	CH_tsc CH_a CH_N# #12
廠	CH_tsc CH_a CH_N# #13
昶	CH_tsc CH_a CH_N# #14
倡	CH_tsc CH_a CH_N# #15
唱	CH_tsc CH_a CH_N# #16
暢	CH_tsc CH_a CH_N# #17
稱	CH_tsc CH_@ CH_N# #3
稱	CH_tsc CH_@ CH_n# #13
撐	CH_tsc CH_@ CH_N# #4
成	CH_tsc CH_@ CH_N# #5
呈	CH_tsc CH_@ CH_N# #6
承	CH_tsc CH_@ CH_N# #7
城	CH_tsc CH_@ CH_N# #8
乘	CH_tsc CH_@ CH_N# #9
乘	CH_sc CH_@ CH_N# #1
程	CH_tsc CH_@ CH_N# #10
誠	CH_tsc CH_@ CH_N# #11
澄	CH_tsc CH_@ CH_N# #12
澄	CH_d CH_@ CH_N# #6
橙	CH_tsc CH_@ CH_N# #13
懲	CH_tsc CH_@ CH_N# #14
晟	CH_tsc CH_@ CH_N# #15
晟	CH_sc CH_@ CH_N# #2
逞	CH_tsc CH_@ CH_N# #16
騁	CH_tsc CH_@ CH_N# #17
出	CH_tsc CH_u #1
初	CH_tsc CH_u #2
齣	CH_tsc CH_u #3
戳	CH_tsc CH_u CH_o #1
綽	CH_tsc CH_u CH_o #2
揣	CH_tsc CH_u CH_a CH_i
吹	CH_tsc CH_u CH_e CH_i #2
垂	CH_tsc CH_u CH_e CH_i #3
陲	CH_tsc CH_u CH_e CH_i #4
槌	CH_tsc CH_u CH_e CH_i #5
錘	CH_tsc CH_u CH_e CH_i #6
川	CH_tsc CH_u CH_a CH_n# #1
穿	CH_tsc CH_u CH_a CH_n# #2
船	CH_tsc CH_u CH_a CH_n# #3
傳	CH_tsc CH_u CH_a CH_n# #4
傳	CH_dzc CH_u CH_a CH_n# #6
喘	CH_tsc CH_u CH_a CH_n# #5
串	CH_tsc CH_u CH_a CH_n# #6
春	CH_tsc CH_u CH_@ CH_n# #1
唇	CH_dzc CH_@ CH_n# #21
純	CH_tsc CH_u CH_@ CH_n# #2
純	CH_dzc CH_u CH_@ CH_n# #4
淳	CH_tsc CH_u CH_@ CH_n# #3
醇	CH_tsc CH_u CH_@ CH_n# #4
蠢	CH_tsc CH_u CH_@ CH_n# #5
窗	CH_tsc CH_u CH_a CH_N# #2
瘡	CH_tsc CH_u CH_a CH_N# #3
床	CH_tsc CH_u CH_a CH_N# #4
幢	CH_tsc CH_u CH_a CH_N# #5
幢	CH_dzc CH_u CH_a CH_N# #9
闖	CH_tsc CH_u CH_a CH_N# #6
闖	CH_tsc CH_@ CH_n# #14
闖	CH_tsc CH_u CH_a CH_N# #7
創	CH_tsc CH_u CH_a CH_N# #8
充	CH_tsc CH_o CH_N# #2
沖	CH_tsc CH_o CH_N# #3
憧	CH_tsc CH_o CH_N# #4
衝	CH_tsc CH_o CH_N# #5
忡	CH_tsc CH_o CH_N# #6
崇	CH_tsc CH_o CH_N# #7
蟲	CH_tsc CH_o CH_N# #8
寵	CH_tsc CH_o CH_N# #9
芻	CH_tsc CH_u #4
蜍	CH_tsc CH_u #5
除	CH_tsc CH_u #6
廚	CH_tsc CH_u #7
儲	CH_tsc CH_u #8
雛	CH_tsc CH_u #9
櫥	CH_tsc CH_u #10
楚	CH_tsc CH_u #11
褚	CH_tsc CH_u #12
礎	CH_tsc CH_u #13
怵	CH_tsc CH_u #14
畜	CH_si CH_y #20
絀	CH_tsc CH_u #15
處	CH_tsc CH_u #16
黜	CH_tsc CH_u #17
觸	CH_tsc CH_u #18
池	CH_tsc CH_Uc #5
持	CH_tsc CH_Uc #6
匙	CH_tsc CH_Uc #7
匙	CH_sc CH_Uc #2
馳	CH_tsc CH_Uc #8
遲	CH_tsc CH_Uc #9
遲	CH_dzc CH_Uc #52
尺	CH_tsc CH_Uc #10
尺	CH_tsc CH_@ #8
呎	CH_tsc CH_Uc #11
恥	CH_tsc CH_Uc #12
齒	CH_tsc CH_Uc #13
褫	CH_tsc CH_Uc #14
斥	CH_tsc CH_Uc #15
赤	CH_tsc CH_Uc #16
翅	CH_tsc CH_Uc #17
飭	CH_tsc CH_Uc #18
熾	CH_tsc CH_Uc #19
摰	CH_n CH_i CH_E #3
失	CH_sc CH_Uc #3
屍	CH_sc CH_Uc #4
施	CH_sc CH_Uc #5
施	CH_# CH_i #4
師	CH_sc CH_Uc #6
獅	CH_sc CH_Uc #7
詩	CH_sc CH_Uc #8
蝨	CH_sc CH_Uc #9
濕	CH_sc CH_Uc #10
濕	CH_si CH_i #41
沙	CH_sc CH_a #3
砂	CH_sc CH_a #4
紗	CH_sc CH_a #5
殺	CH_sc CH_a #6
傻	CH_sc CH_a #7
煞	CH_sc CH_a #8
奢	CH_sc CH_@ #2
賒	CH_sc CH_@ #3
舌	CH_sc CH_@ #4
蛇	CH_# CH_i #5
蛇	CH_sc CH_@ #5
捨	CH_sc CH_@ #6
社	CH_sc CH_@ #7
舍	CH_sc CH_@ #8
射	CH_sc CH_Uc #11
射	CH_# CH_i #6
射	CH_sc CH_@ #9
涉	CH_sc CH_@ #10
設	CH_sc CH_@ #11
赦	CH_sc CH_@ #12
攝	CH_sc CH_@ #13
攝	CH_n CH_i CH_E #4
篩	CH_sc CH_a CH_i #1
曬	CH_sc CH_a CH_i #2
誰	CH_sc CH_e CH_i
誰	CH_sc CH_u CH_e CH_i #1
梢	CH_sc CH_a CH_u #2
稍	CH_sc CH_a CH_u #3
燒	CH_sc CH_a CH_u #4
少	CH_sc CH_a CH_u #5
邵	CH_sc CH_a CH_u #6
哨	CH_sc CH_a CH_u #7
收	CH_sc CH_o CH_u #1
手	CH_sc CH_o CH_u #2
守	CH_sc CH_o CH_u #3
首	CH_sc CH_o CH_u #4
受	CH_sc CH_o CH_u #5
狩	CH_sc CH_o CH_u #6
售	CH_sc CH_o CH_u #7
授	CH_sc CH_o CH_u #8
壽	CH_sc CH_o CH_u #9
瘦	CH_sc CH_o CH_u #10
獸	CH_sc CH_o CH_u #11
山	CH_sc CH_a CH_n# #5
杉	CH_sc CH_a #9
刪	CH_sc CH_a CH_n# #6
姍	CH_sc CH_a CH_n# #7
姍	CH_si CH_i CH_E CH_n# #27
珊	CH_sc CH_a CH_n# #8
衫	CH_sc CH_a CH_n# #9
跚	CH_sc CH_a CH_n# #10
煽	CH_sc CH_a CH_n# #11
閃	CH_sc CH_a CH_n# #12
扇	CH_sc CH_a CH_n# #13
訕	CH_sc CH_a CH_n# #14
善	CH_sc CH_a CH_n# #15
擅	CH_sc CH_a CH_n# #16
繕	CH_sc CH_a CH_n# #17
贍	CH_sc CH_a CH_n# #18
申	CH_sc CH_@ CH_n# #3
伸	CH_sc CH_@ CH_n# #4
身	CH_sc CH_@ CH_n# #5
身	CH_dzi CH_y CH_E CH_n# #7
砷	CH_sc CH_@ CH_n# #6
紳	CH_sc CH_@ CH_n# #7
莘莘	CH_sc CH_@ CH_n# CH_sc CH_@ CH_n#
呻	CH_sc CH_@ CH_n# #8
深	CH_sc CH_@ CH_n# #9
神	CH_sc CH_@ CH_n# #10
審	CH_sc CH_@ CH_n# #11
甚	CH_sc CH_@ #14
甚	CH_sc CH_@ CH_n# #12
腎	CH_sc CH_@ CH_n# #13
慎	CH_sc CH_@ CH_n# #14
滲	CH_sc CH_@ CH_n# #15
商	CH_sc CH_a CH_N# #2
傷	CH_sc CH_a CH_N# #3
裳	CH_sc CH_a CH_N# #4
裳	CH_tsc CH_a CH_N# #18
賞	CH_sc CH_a CH_N# #5
上	CH_sc CH_a CH_N# #6
尚	CH_sc CH_a CH_N# #7
升	CH_sc CH_@ CH_N# #3
生	CH_sc CH_@ CH_N# #4
昇	CH_sc CH_@ CH_N# #5
牲	CH_sc CH_@ CH_N# #6
笙	CH_sc CH_@ CH_N# #7
聲	CH_sc CH_@ CH_N# #8
繩	CH_sc CH_@ CH_N# #9
省	CH_sc CH_@ CH_N# #10
省	CH_si CH_i CH_N# #17
盛	CH_tsc CH_@ CH_N# #18
盛	CH_sc CH_@ CH_N# #11
剩	CH_sc CH_@ CH_N# #12
勝	CH_sc CH_@ CH_N# #13
聖	CH_sc CH_@ CH_N# #14
賸	CH_sc CH_@ CH_N# #15
抒	CH_sc CH_u #3
書	CH_sc CH_u #4
梳	CH_sc CH_u #5
殊	CH_sc CH_u #6
疏	CH_sc CH_u #7
舒	CH_sc CH_u #8
樞	CH_sc CH_u #9
蔬	CH_sc CH_u #10
輸	CH_sc CH_u #11
紓	CH_sc CH_u #12
刷	CH_sc CH_u CH_a #1
耍	CH_sc CH_u CH_a #2
說	CH_sc CH_u CH_o #1
說	CH_# CH_y CH_E #2
說	CH_sc CH_u CH_e CH_i #2
朔	CH_sc CH_u CH_o #2
爍	CH_sc CH_u CH_o #3
衰	CH_sc CH_u CH_a CH_i #1
摔	CH_sc CH_u CH_a CH_i #2
甩	CH_sc CH_u CH_a CH_i #3
帥	CH_sc CH_u CH_o #4
率	CH_l CH_y #14
率	CH_sc CH_u CH_o #5
水	CH_sc CH_u CH_e CH_i #3
稅	CH_sc CH_u CH_e CH_i #4
蛻	CH_t CH_u CH_e CH_i #7
睡	CH_sc CH_u CH_e CH_i #5
拴	CH_sc CH_u CH_a CH_n# #1
栓	CH_sc CH_u CH_a CH_n# #2
舜	CH_sc CH_u CH_@ CH_n# #2
順	CH_sc CH_u CH_@ CH_n# #3
霜	CH_sc CH_u CH_a CH_N# #1
雙	CH_sc CH_u CH_a CH_N# #2
孀	CH_sc CH_u CH_a CH_N# #3
爽	CH_sc CH_u CH_a CH_N# #4
叔	CH_sc CH_u #13
孰	CH_sc CH_u #14
淑	CH_sc CH_u #15
熟	CH_sc CH_o CH_u #12
贖	CH_sc CH_u #16
暑	CH_sc CH_u #17
蜀	CH_sc CH_u #18
署	CH_sc CH_u #19
屬	CH_dzc CH_u #29
戍	CH_sc CH_u #20
束	CH_sc CH_u #21
述	CH_sc CH_u #22
恕	CH_sc CH_u #23
庶	CH_sc CH_u #24
術	CH_sc CH_u #25
術	CH_s CH_u CH_e CH_i #1
墅	CH_sc CH_u #26
數	CH_sc CH_u #27
數	CH_sc CH_u CH_o #6
豎	CH_sc CH_u #28
倏	CH_sc CH_u #29
樹	CH_sc CH_u #30
曙	CH_sc CH_u #31
澍	CH_sc CH_u #32
什	CH_sc CH_Uc #12
什	CH_sc CH_@ #15
十	CH_sc CH_Uc #13
石	CH_sc CH_Uc #14
石	CH_d CH_a CH_n# #16
拾	CH_sc CH_Uc #15
拾	CH_sc CH_@ #16
食	CH_sc CH_Uc #16
食	CH_s CH_U #1
時	CH_sc CH_Uc #17
實	CH_sc CH_Uc #18
碩	CH_sc CH_Uc #19
碩	CH_sc CH_u CH_o #7
蝕	CH_sc CH_Uc #20
蒔	CH_sc CH_Uc #21
矢	CH_sc CH_Uc #22
史	CH_sc CH_Uc #23
使	CH_sc CH_Uc #24
始	CH_sc CH_Uc #25
屎	CH_si CH_i #42
屎	CH_sc CH_Uc #26
駛	CH_sc CH_Uc #27
氏	CH_dzc CH_Uc #53
氏	CH_sc CH_Uc #28
士	CH_sc CH_Uc #29
市	CH_sc CH_Uc #30
示	CH_tsi CH_i #48
示	CH_sc CH_Uc #31
世	CH_sc CH_Uc #32
仕	CH_sc CH_Uc #33
式	CH_sc CH_Uc #34
事	CH_sc CH_Uc #35
侍	CH_sc CH_Uc #36
室	CH_sc CH_Uc #37
恃	CH_sc CH_Uc #38
拭	CH_sc CH_Uc #39
是	CH_sc CH_Uc #40
柿	CH_sc CH_Uc #41
逝	CH_sc CH_Uc #42
視	CH_sc CH_Uc #43
勢	CH_sc CH_Uc #44
嗜	CH_sc CH_Uc #45
試	CH_sc CH_Uc #46
飾	CH_sc CH_Uc #47
誓	CH_sc CH_Uc #48
噬	CH_sc CH_Uc #49
適	CH_d CH_i #22
適	CH_sc CH_Uc #50
識	CH_dzc CH_Uc #54
釋	CH_sc CH_Uc #51
惹	CH_Zc CH_@ #1
熱	CH_Zc CH_@ #2
饒	CH_Zc CH_a CH_u #1
擾	CH_Zc CH_a CH_u #2
繞	CH_Zc CH_a CH_u #3
遶	CH_Zc CH_a CH_u #4
柔	CH_Zc CH_o CH_u #1
揉	CH_Zc CH_o CH_u #2
蹂	CH_Zc CH_o CH_u #3
肉	CH_Zc CH_o CH_u #4
然	CH_Zc CH_a CH_n# #1
燃	CH_Zc CH_a CH_n# #2
染	CH_Zc CH_a CH_n# #3
仁	CH_Zc CH_@ CH_n# #1
壬	CH_Zc CH_@ CH_n# #2
人	CH_Zc CH_@ CH_n# #3
忍	CH_Zc CH_@ CH_n# #4
刃	CH_Zc CH_@ CH_n# #5
仞	CH_Zc CH_@ CH_n# #6
任	CH_Zc CH_@ CH_n# #7
韌	CH_Zc CH_@ CH_n# #8
飪	CH_Zc CH_@ CH_n# #9
賃	CH_Zc CH_@ CH_n# #10
賃	CH_l CH_i CH_n# #13
認	CH_Zc CH_@ CH_n# #11
攘	CH_Zc CH_a CH_N# #2
壤	CH_Zc CH_a CH_N# #3
讓	CH_Zc CH_a CH_N# #4
扔	CH_Zc CH_@ CH_N# #1
仍	CH_Zc CH_@ CH_N# #2
若	CH_Zc CH_@ #3
若	CH_Zc CH_u CH_o #1
弱	CH_Zc CH_u CH_o #2
瑞	CH_Zc CH_u CH_e CH_i #1
睿	CH_Zc CH_u CH_e CH_i #2
銳	CH_Zc CH_u CH_e CH_i #3
蚋	CH_Zc CH_u CH_e CH_i #4
阮	CH_Zc CH_u CH_a CH_n# #1
蠕	CH_Zc CH_u #2
蠕	CH_Zc CH_u CH_a CH_n# #2
軟	CH_Zc CH_u CH_a CH_n# #3
潤	CH_Zc CH_u CH_@ CH_n#
戎	CH_Zc CH_o CH_N# #1
容	CH_Zc CH_o CH_N# #2
絨	CH_Zc CH_o CH_N# #3
榕	CH_Zc CH_o CH_N# #4
榮	CH_Zc CH_o CH_N# #5
蓉	CH_Zc CH_o CH_N# #6
融	CH_Zc CH_o CH_N# #7
嶸	CH_h CH_o CH_N# #12
冗	CH_Zc CH_o CH_N# #8
如	CH_Zc CH_u #3
儒	CH_Zc CH_u #4
孺	CH_Zc CH_u #5
濡	CH_Zc CH_u #6
汝	CH_Zc CH_u #7
乳	CH_Zc CH_u #8
入	CH_Zc CH_u #9
入	CH_Zc CH_Uc #1
入	CH_Zc CH_u #10
辱	CH_Zc CH_u #11
縟	CH_Zc CH_u #12
日	CH_Zc CH_Uc #2
日	CH_m CH_i #12
孜	CH_dz CH_U #3
吱	CH_dzc CH_Uc #55
姿	CH_dz CH_U #4
茲	CH_dz CH_U #5
茲	CH_ts CH_U #2
玆	CH_dz CH_U #6
滋	CH_dz CH_U #7
孳	CH_dz CH_U #8
資	CH_dz CH_U #9
貲	CH_dz CH_U #10
諮	CH_dz CH_U #11
砸	CH_dz CH_a #2
雜	CH_dz CH_a #3
則	CH_dz CH_@ #2
責	CH_dz CH_@ #3
責	CH_dzc CH_a CH_i #9
擇	CH_dzc CH_a CH_i #10
澤	CH_dz CH_@ #4
災	CH_dz CH_a CH_i #1
哉	CH_dz CH_a CH_i #2
栽	CH_dz CH_a CH_i #3
宰	CH_dz CH_a CH_i #4
再	CH_dz CH_a CH_i #5
在	CH_dz CH_a CH_i #6
載	CH_dz CH_a CH_i #7
賊	CH_dz CH_@ #5
遭	CH_dz CH_a CH_u #1
糟	CH_dz CH_a CH_u #2
早	CH_dz CH_a CH_u #3
蚤	CH_dz CH_a CH_u #4
棗	CH_dz CH_a CH_u #5
澡	CH_dz CH_a CH_u #6
藻	CH_dz CH_a CH_u #7
灶	CH_dz CH_a CH_u #8
造	CH_dz CH_a CH_u #9
噪	CH_dz CH_a CH_u #10
燥	CH_dz CH_a CH_u #11
躁	CH_dz CH_a CH_u #12
走	CH_dz CH_o CH_u #1
奏	CH_dz CH_o CH_u #2
揍	CH_dz CH_o CH_u #3
驟	CH_dz CH_o CH_u #4
咱	CH_dz CH_a #4
贊	CH_dz CH_a CH_n# #1
讚	CH_dz CH_a CH_n# #2
怎	CH_dz CH_@ #6
臧	CH_dz CH_a CH_N# #1
髒	CH_dz CH_a CH_N# #2
贓	CH_dz CH_a CH_N# #3
葬	CH_dz CH_a CH_N# #4
臟	CH_dz CH_a CH_N# #5
曾	CH_dz CH_@ CH_N# #1
曾	CH_ts CH_@ CH_N# #1
增	CH_dz CH_@ CH_N# #2
贈	CH_dz CH_@ CH_N# #3
租	CH_dz CH_u #1
昨	CH_dz CH_u CH_o #1
左	CH_dz CH_u CH_o #2
佐	CH_dz CH_u CH_o #3
坐	CH_dz CH_u CH_o #4
作	CH_dz CH_u CH_o #5
座	CH_dz CH_u CH_o #6
做	CH_dz CH_u CH_o #7
鑿	CH_dz CH_a CH_u #13
鑿	CH_dz CH_u CH_o #8
嘴	CH_dz CH_u CH_e CH_i #1
最	CH_dz CH_u CH_e CH_i #2
罪	CH_dz CH_u CH_e CH_i #3
醉	CH_dz CH_u CH_e CH_i #4
墬	CH_d CH_i #23
鑽	CH_dz CH_u CH_a CH_n# #1
尊	CH_dz CH_u CH_@ CH_n# #1
樽	CH_dz CH_u CH_@ CH_n# #2
遵	CH_dz CH_u CH_@ CH_n# #3
撙	CH_dz CH_u CH_@ CH_n# #4
圳	CH_tsc CH_o CH_u #12
圳	CH_dzc CH_@ CH_n# #22
圳	CH_dz CH_u CH_@ CH_n# #5
宗	CH_dz CH_o CH_N# #1
蹤	CH_dz CH_o CH_N# #2
總	CH_dz CH_o CH_N# #3
綜	CH_dz CH_o CH_N# #4
縱	CH_dz CH_o CH_N# #5
足	CH_dz CH_u #2
足	CH_dzi CH_y #28
族	CH_dz CH_u #3
阻	CH_dz CH_u #4
俎	CH_dz CH_u #5
祖	CH_dz CH_u #6
組	CH_dz CH_u #7
詛	CH_dz CH_u #8
子	CH_dz CH_U #12
仔	CH_dz CH_U #13
仔	CH_dz CH_a CH_i #8
梓	CH_dz CH_U #14
紫	CH_dz CH_U #15
自	CH_dz CH_U #16
恣	CH_dz CH_U #17
字	CH_dz CH_U #18
漬	CH_dz CH_U #19
疵	CH_ts CH_U #3
擦	CH_ts CH_a #2
